duration,depth,scramble,is_solved,solve_steps,solution
127.580321,14,10 6 1 4 2 0 2 5 1 6 2 6 3 11,0,30001,
3.813424,14,5 4 0 2 7 11 0 11 2 9 2 2 7 2,1,1753,
86.341004,14,0 0 10 8 7 7 6 4 5 4 1 10 0 8,1,25864,
0.275853,14,1 5 10 3 2 6 1 9 8 9 6 11 9 9,1,186,
105.785964,14,3 10 0 4 11 10 9 7 2 11 1 2 1 6,0,30001,
137.794539,14,1 11 0 9 1 2 6 7 2 10 10 10 1 4,0,30001,
159.03642,14,2 6 3 6 10 8 11 4 6 1 3 1 6 8,0,30001,
105.37128,14,6 4 8 5 5 10 1 1 0 7 3 0 3 0,0,30001,
92.101296,14,8 8 0 10 9 7 6 9 6 4 1 6 2 10,0,30001,
219.066853,14,10 2 6 10 6 6 11 7 7 4 5 7 5 1,0,30001,
39.319061,14,5 2 5 0 10 3 11 10 6 8 11 2 0 10,1,8911,
169.785711,14,9 10 7 4 2 10 0 3 3 6 1 3 5 0,0,30001,
120.421782,14,2 10 1 2 3 5 7 2 7 6 8 5 5 9,0,30001,
170.990436,14,6 6 5 2 6 1 5 2 6 6 3 3 2 10,0,30001,
1.693233,14,0 4 0 2 9 4 6 7 10 3 8 1 6 1,1,887,
10.965584,14,11 3 10 3 8 10 9 7 10 9 2 7 7 7,1,3779,
145.561594,14,5 0 2 3 0 8 3 1 4 2 0 10 7 5,0,30001,
111.558231,15,7 0 10 1 3 1 10 2 7 8 9 11 10 2 9,0,30001,
0.043286,15,2 5 7 11 7 9 11 6 5 10 11 9 6 7 9,1,33,
88.919819,15,1 4 2 10 8 5 1 11 10 9 1 6 3 1 4,0,30001,
153.929992,15,5 1 8 0 4 7 9 5 3 1 5 7 9 2 9,0,30001,
114.326233,15,5 8 10 7 0 4 4 6 10 10 5 10 8 10 3,1,19583,
222.060746,15,0 2 3 8 0 5 7 6 9 9 11 8 8 3 1,0,30001,
56.413927,15,10 6 3 0 11 7 11 9 4 3 4 4 9 7 2,1,17806,
102.702525,15,1 10 11 1 2 4 0 5 8 10 10 8 9 0 7,0,30001,
65.731714,15,3 11 11 7 8 5 8 8 11 0 4 9 9 10 8,0,30001,
0.007804,15,1 9 1 0 1 0 3 8 10 8 3 5 5 10 10,1,11,
75.862124,15,11 10 8 4 0 5 5 4 0 10 0 11 7 6 7,0,30001,
154.676733,15,5 1 10 9 5 3 6 8 6 5 2 0 5 6 9,0,30001,
188.255214,15,8 1 8 1 5 2 4 1 2 5 6 2 11 1 5,0,30001,
1.440377,15,3 3 10 2 0 7 11 0 7 2 4 1 6 5 5,1,571,
84.428271,15,3 1 8 4 0 8 10 7 8 1 2 11 0 1 0,0,30001,
120.75591,15,3 10 0 11 0 11 0 2 5 1 4 2 10 3 2,0,30001,
99.376626,15,10 8 4 5 7 0 9 5 7 11 2 1 0 11 8,0,30001,
145.78794,15,3 11 0 10 3 5 1 10 6 6 5 9 4 1 5,0,30001,
3.069204,15,9 8 8 4 1 4 5 6 11 4 9 9 1 6 4,1,1617,
1.661288,15,2 5 0 2 7 11 8 0 3 3 0 2 3 8 9,1,853,
5.478606,16,6 8 9 6 11 4 3 0 7 11 2 0 4 3 10 8,1,1552,
78.013717,16,1 3 10 6 2 3 8 4 5 8 3 5 8 5 0 8,1,23813,
172.914135,16,10 5 9 5 5 5 6 8 11 3 0 10 3 4 4 1,0,30001,
91.222013,16,7 11 0 7 0 8 5 9 2 4 6 8 0 2 4 8,0,30001,
111.556231,16,6 10 0 5 1 1 4 4 4 4 3 0 10 1 5 10,0,30001,
108.047293,16,4 11 2 6 2 4 9 6 3 2 10 6 9 7 4 8,0,30001,
179.21023,16,10 8 9 7 10 11 3 0 9 2 9 9 6 8 8 10,0,30001,
113.416979,16,4 4 7 0 9 1 9 7 11 8 1 6 8 8 7 9,0,30001,
95.265007,16,10 9 1 10 0 3 5 10 10 3 10 7 5 5 7 0,1,21785,
71.8162,16,2 11 3 2 7 8 1 11 11 11 3 4 5 3 4 2,0,30001,
36.768435,16,10 3 3 6 7 3 5 3 8 10 2 7 9 7 11 2,1,13752,
113.375119,16,3 10 10 5 10 1 2 11 11 8 7 2 4 4 5 5,0,30001,
98.27188,16,7 6 10 6 10 1 1 4 5 9 0 8 5 5 10 10,0,30001,
103.151324,16,6 9 2 1 11 3 3 7 3 7 9 0 5 5 1 9,0,30001,
72.748144,16,6 7 7 8 7 5 7 5 0 11 4 3 4 8 0 11,0,30001,
77.826813,16,3 8 7 6 10 3 1 4 9 7 8 8 5 8 5 3,0,30001,
63.855368,16,3 5 3 10 0 2 7 5 8 0 5 8 10 10 10 5,1,26193,
81.025853,16,5 1 10 11 8 3 8 4 1 8 3 11 2 11 3 4,1,26749,
124.363993,16,7 6 1 10 3 1 6 2 2 10 0 0 4 5 10 3,0,30001,
87.813806,16,5 3 10 10 6 6 6 5 6 2 1 11 0 1 10 11,0,30001,
2.761856,17,2 6 1 2 4 11 4 9 10 10 6 9 5 10 9 10 7,1,1959,
45.200159,17,6 11 3 6 8 4 9 1 4 8 0 7 4 7 10 9 0,1,15601,
59.72923,17,11 11 1 6 3 8 4 11 1 2 6 9 7 3 10 2 0,0,30001,
130.64802,17,6 5 3 11 2 4 11 8 1 3 10 2 1 10 11 8 5,0,30001,
200.328795,17,11 11 11 8 9 7 4 2 11 4 3 2 6 10 6 9 5,0,30001,
132.729021,17,4 2 10 1 4 4 8 3 2 6 8 6 3 2 2 6 2,0,30001,
1.20816,17,1 11 0 7 6 9 1 10 5 2 3 2 2 11 10 10 1,1,737,
80.308602,17,2 5 2 5 8 7 5 5 1 5 8 9 0 3 1 9 0,1,22086,
105.805193,17,7 9 6 9 2 5 1 1 2 9 6 10 10 9 4 3 1,0,30001,
43.284384,17,0 10 5 10 7 6 4 0 7 4 8 5 9 10 6 9 6,1,18284,
96.446456,17,3 10 3 3 2 4 6 8 9 0 4 1 0 7 2 6 9,0,30001,
4.716206,17,3 2 1 10 8 5 10 0 8 8 0 8 11 3 2 4 2,1,2070,
137.67098,17,4 3 4 0 1 1 0 7 10 1 2 2 1 0 9 10 2,0,30001,
118.137689,17,4 3 3 8 0 5 6 8 6 6 3 11 11 6 4 8 6,0,30001,
115.213303,17,8 5 5 5 10 6 1 1 2 10 6 5 4 4 9 9 7,0,30001,
76.140168,17,2 5 1 4 7 6 3 4 4 8 5 9 9 0 5 4 4,0,30001,
3.098191,17,0 0 3 10 5 1 1 4 0 0 1 6 7 0 7 9 1,1,1379,
35.612986,17,11 8 3 1 2 2 9 0 2 9 2 9 8 6 9 7 6,1,7949,
