duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
4.912763,10,7 5 2 6 1 4 1 8 9 7,1,5726,30,10,15,8.802317091
88.457916,10,1 4 8 4 0 5 3 3 1 8,1,52174,80,14,19,12.01316201
1.275085,10,0 10 7 2 2 7 3 5 8 3,1,1283,66,10,14,7.939809198
49.291704,10,11 8 1 2 6 2 1 4 3 2,1,30360,138,10,20,12.28568517
4.837184,10,8 0 11 0 1 11 6 7 8 3,1,5443,26,10,16,9.117357369
0.447839,10,3 0 7 7 9 6 10 2 9 2,1,498,116,8,12,7.432847276
2.037985,10,11 10 5 5 3 11 10 7 10 6,1,1585,26,6,13,7.936506135
16.534958,10,8 1 11 9 11 4 4 8 8 0,1,16531,28,12,18,10.1845159
0.285629,11,4 4 11 11 7 0 4 8 7 3 7,1,423,33,9,10,6.469795079
9.520052,11,6 5 10 3 1 1 9 5 8 5 3,1,10343,21,13,17,10.01781305
64.34351,11,0 4 9 0 4 11 0 8 9 11 10,1,41210,111,9,19,11.6688189
1.370744,11,10 6 6 1 11 10 0 5 3 8 7,1,1438,9,5,14,8.30147485
6.803595,11,5 7 0 2 5 2 1 3 4 1 6,1,8212,7,7,17,9.648514166
0.259802,11,7 5 7 0 8 1 8 9 6 9 2,1,370,13,7,11,6.951245414
0.091314,11,7 7 6 4 8 1 1 0 1 6 8,1,100,35,5,7,4.451634877
12.463012,11,6 7 6 8 7 3 4 9 6 5 8,1,9367,81,11,16,10.03000256
1.807094,11,0 5 8 4 4 6 1 3 5 3 5,1,2319,43,7,13,8.280261765
4.725653,11,11 1 10 2 10 8 1 6 1 8 6,1,4731,95,13,15,9.620655599
44.761359,11,6 1 10 2 2 4 7 2 1 11 7,1,16825,89,9,17,9.849049961
30.437244,11,6 1 10 8 11 1 11 8 3 3 7,1,21269,43,15,18,11.75255897
43.329248,11,7 2 6 7 3 2 9 10 7 10 1,1,22922,85,11,18,11.09043902
55.474734,11,7 2 7 2 3 10 3 8 10 6 3,1,39109,45,9,19,11.61115546
1.243428,11,6 2 0 4 1 1 10 6 8 8 0,1,1129,19,7,13,7.24094998
0.181177,11,4 4 11 9 7 3 2 3 0 8 9,1,218,29,9,10,6.520825122
23.313165,11,9 4 8 3 5 0 2 7 11 3 5,1,19637,89,9,19,11.29756945
9.250723,11,8 7 3 0 5 1 6 3 2 5 7,1,6533,91,9,18,11.61882469
14.166024,11,6 4 2 0 11 6 7 6 1 4 7,1,14761,69,11,17,10.07183801
1.599486,11,8 6 7 6 5 2 3 3 5 1 2,1,2287,41,11,15,8.428959287
106.575073,12,6 8 3 2 6 2 7 11 1 11 1 2,1,63607,98,16,22,12.64256076
7.97323,12,4 7 7 2 1 10 0 3 5 9 1 8,1,6005,50,10,16,10.92039959
3.309468,12,11 9 10 9 7 3 7 2 0 5 0 2,1,2198,58,8,14,9.075961916
5.079352,12,1 6 2 1 0 9 10 8 11 4 6 7,1,4646,6,6,16,9.619677869
0.534733,12,11 0 10 3 2 2 10 10 9 7 0 4,1,483,20,8,12,7.706367196
25.552402,12,3 10 2 4 5 1 4 6 9 6 1 5,1,23954,56,14,17,10.51255813
32.745241,12,6 3 4 9 4 0 3 11 4 9 0 5,1,25553,126,12,19,12.18066197
85.817793,12,0 3 6 4 1 2 7 5 2 6 10 5,1,54198,32,14,20,12.30948857
0.973338,12,8 7 3 2 11 6 11 4 7 2 1 2,1,914,80,6,13,7.554895877
147.045817,12,6 11 7 8 3 0 10 1 10 0 9 1,0,100001,-1,-1,21,13.8410473
2.397073,12,4 9 2 9 7 10 5 1 9 4 9 2,1,2190,20,8,15,9.388043009
68.036584,12,11 0 8 6 1 2 5 6 1 1 6 3,1,40779,156,14,18,11.79546058
6.166017,12,1 2 10 11 3 10 3 0 1 6 10 8,1,2689,100,10,15,8.851445563
7.031307,12,10 5 6 1 0 8 10 6 2 0 10 5,1,4147,90,8,17,10.44725659
7.274672,12,2 5 9 5 5 10 3 6 1 11 4 6,1,5432,14,6,16,10.62184407
7.995514,12,6 10 10 8 5 2 9 8 10 2 6 4,1,8981,58,10,18,10.73960186
