duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
142.263948,13,7 9 4 5 0 1 4 7 11 9 1 5 3,1,46861,165,15,24,14.60339406
0.293611,13,1 3 5 10 0 7 6 1 4 1 6 10 9,1,107,73,9,10,7.280615942
39.000491,13,9 6 2 0 5 1 4 7 5 7 9 11 8,1,11307,155,15,23,14.55066716
4.159193,13,5 2 2 0 11 7 4 9 5 6 1 6 7,1,3522,115,11,16,9.734213648
58.914207,13,1 0 11 9 9 6 8 4 2 0 8 4 1,1,18476,121,15,23,14.48773352
60.992371,13,10 3 10 10 1 1 9 1 10 5 0 10 8,1,32932,77,13,23,13.87193145
85.079465,13,9 2 3 1 2 9 1 1 5 8 0 0 9,1,26243,171,9,22,14.20908356
8.288729,14,8 3 5 8 0 7 9 8 6 3 8 3 1 5,1,3792,90,10,22,11.36801762
6.102712,14,10 0 1 2 5 5 4 7 0 1 2 6 7 3,1,2972,90,12,17,10.31628735
30.177706,14,6 1 6 10 11 3 0 1 3 5 1 4 8 6,1,13120,102,12,20,11.91045405
4.463022,14,3 11 9 2 10 8 7 4 4 7 10 6 9 1,1,2833,78,14,16,10.31964722
94.405323,14,4 1 11 9 6 9 10 6 4 3 4 0 1 5,1,33112,256,12,22,12.92188247
27.271388,14,10 1 10 7 9 0 3 5 6 9 8 4 0 1,1,16560,80,14,21,12.84241041
313.672328,14,9 4 1 9 8 5 10 9 5 2 11 6 11 8,0,100001,-1,-1,24,15.0685617
150.898249,14,6 6 11 2 9 4 0 8 8 6 11 10 1 5,1,38712,74,14,24,14.26586683
1.001165,14,4 3 0 2 0 2 7 6 6 11 7 9 2 2,1,950,36,12,14,8.909892816
176.871822,14,4 7 10 2 4 1 3 0 11 8 7 4 1 11,1,52090,52,10,24,14.59072132
3.389806,14,11 11 10 7 4 11 10 8 7 7 10 10 10 11,1,1885,92,12,14,8.675999546
16.351053,14,1 0 4 3 2 0 5 2 10 1 8 1 8 4,1,13512,112,18,22,12.65723026
110.099286,14,5 8 0 7 8 3 5 8 10 6 2 5 1 6,1,48327,198,10,23,14.17071379
52.600901,14,4 9 0 4 6 9 1 11 3 1 2 1 4 2,1,22735,222,14,21,13.21000342
437.299228,14,9 2 2 7 2 1 4 8 5 2 3 3 3 10,0,100001,-1,-1,24,15.25697026
33.397038,14,7 6 3 6 3 7 7 10 10 1 6 6 9 5,1,20202,86,18,22,13.26509671
164.368561,14,4 2 9 8 1 3 2 1 5 2 0 2 10 1,1,55474,38,14,24,13.48182051
7.838146,14,6 2 10 1 1 6 1 11 9 11 6 5 4 8,1,6456,32,16,20,10.99331202
256.651036,14,3 2 0 3 5 10 7 7 2 6 8 0 4 4,1,76118,96,16,24,14.6361621
236.269091,14,7 5 7 5 5 9 1 2 11 11 7 9 11 0,1,46931,372,16,22,13.39915838
77.584246,15,2 11 1 9 2 10 9 10 2 3 1 11 3 8 4,1,22782,273,15,23,14.3391334
3.973091,15,3 6 10 6 1 11 3 6 1 11 11 9 8 11 2,1,3008,61,13,18,10.98650582
108.278442,15,7 10 9 9 6 5 1 10 2 10 7 6 7 5 4,1,49691,269,19,26,14.50308844
113.687421,15,3 10 8 3 3 1 9 6 6 6 11 11 7 9 11,1,31263,201,17,25,15.51557179
132.956034,15,4 0 0 9 1 11 8 7 6 9 11 3 5 3 2,1,49125,293,13,24,13.85882639
13.6024,15,1 2 3 8 8 6 9 9 8 10 0 11 6 10 11,1,5955,131,13,18,11.09300243
48.438089,15,4 0 2 6 8 9 10 2 6 2 4 7 8 11 2,1,21047,195,17,23,14.69801333
13.036936,15,3 7 5 2 10 6 4 6 6 1 0 0 1 4 11,1,7856,91,7,20,12.32495953
1.539893,15,11 9 8 6 6 2 5 5 0 1 3 0 10 9 1,1,1160,93,11,14,8.918194668
0.159019,15,3 11 10 6 8 3 5 10 10 0 4 11 2 0 2,1,152,39,9,10,7.530984204
