start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2023-08-22T00:41:53.529150,2023-08-22T00:43:00.188394,66.659244,44,1 5 3 1 10 11 6 5 3 0 4 0 1 11 1 3 10 9 11 10 9 1 5 5 4 4 0 3 10 2 7 0 9 1 10 10 10 8 0 8 10 10 11 8,0,30001,-1,-1,25,15.559993237381224
2023-08-22T00:43:03.286598,2023-08-22T00:43:38.748771,35.462173,44,11 4 5 1 11 11 4 5 6 5 9 7 9 11 8 8 0 7 4 7 3 8 1 2 11 2 11 6 5 1 2 11 9 6 5 6 3 6 4 2 11 7 11 7,0,30001,-1,-1,23,14.086174860021218
2023-08-22T00:43:40.613238,2023-08-22T00:44:22.973756,42.360518,44,1 1 6 9 10 0 0 2 4 8 6 4 2 5 3 0 7 11 7 5 9 9 4 0 1 5 7 9 2 7 11 11 10 3 8 5 0 3 1 5 2 9 5 8,0,30001,-1,-1,24,13.588375627116145
2023-08-22T00:44:24.236218,2023-08-22T00:45:35.928106,71.691888,44,7 11 8 3 6 7 4 0 1 9 2 7 5 5 2 3 7 9 0 7 8 5 1 2 1 4 8 4 3 4 9 8 10 7 5 2 2 3 6 8 9 1 2 5,0,30001,-1,-1,22,13.932714222056974
2023-08-22T00:45:37.439856,2023-08-22T00:46:13.627151,36.187295,44,2 3 10 0 3 6 3 7 10 0 10 1 8 9 10 0 2 0 9 5 9 9 2 2 5 8 11 1 8 11 10 7 11 0 7 4 9 2 6 5 1 0 8 4,0,30001,-1,-1,27,14.12521825846074
2023-08-22T00:46:18.268490,2023-08-22T00:47:01.334724,43.066234,44,10 5 5 2 11 2 7 9 8 4 2 6 9 7 6 1 0 7 0 4 7 10 7 5 5 1 5 8 5 6 7 3 8 11 9 0 1 6 10 0 1 9 5 9,0,30001,-1,-1,23,13.426629901521935
2023-08-22T00:47:03.458396,2023-08-22T00:47:37.976102,34.517706,44,4 5 9 6 5 3 10 1 3 7 7 6 5 10 2 11 10 6 1 8 5 1 5 2 6 10 2 0 8 8 8 6 1 3 11 1 6 10 6 6 5 2 6 6,0,30001,-1,-1,23,13.518689455962727
2023-08-22T00:47:39.808234,2023-08-22T00:48:21.710844,41.90261,44,8 0 9 8 6 2 4 4 4 3 5 3 7 9 6 11 10 2 6 7 7 9 4 2 3 5 4 9 1 11 8 3 4 2 11 11 11 4 0 4 5 1 0 2,0,30001,-1,-1,22,12.739302733147445
2023-08-22T00:48:22.867934,2023-08-22T00:48:53.795442,30.927508,45,4 9 10 10 2 0 2 6 10 10 7 10 10 8 3 1 6 6 9 10 11 10 6 4 1 4 1 11 1 8 0 4 5 6 7 5 3 11 6 3 1 2 7 3 1,0,30001,-1,-1,21,12.164679888399847
2023-08-22T00:48:54.817556,2023-08-22T00:49:23.466244,28.648688,45,5 5 0 9 4 9 7 10 1 4 6 10 6 5 9 2 9 9 9 6 10 8 10 8 5 8 1 0 11 0 7 9 8 1 0 2 6 7 11 9 10 11 9 2 11,0,30001,-1,-1,22,13.333371540440444
2023-08-22T00:49:25.859370,2023-08-22T00:49:57.489336,31.629966,45,3 6 2 6 4 2 2 0 9 11 7 8 5 2 0 9 9 10 8 0 9 9 11 4 9 9 1 1 2 9 7 7 7 6 1 10 11 7 2 3 2 10 6 10 6,0,30001,-1,-1,20,12.269023272839474
2023-08-22T00:49:59.066306,2023-08-22T00:50:37.756547,38.690241,45,6 10 3 7 4 1 2 6 7 2 10 9 2 5 5 6 6 1 4 6 1 6 9 7 6 11 7 7 3 0 10 10 5 7 9 6 10 11 3 3 8 4 9 2 11,0,30001,-1,-1,21,12.611962558612413
2023-08-22T00:50:38.924355,2023-08-22T00:51:11.913550,32.989195,45,9 8 11 2 9 9 9 9 8 4 4 7 7 8 10 3 2 5 3 8 0 8 4 5 3 7 10 3 5 6 5 6 5 3 1 9 7 6 10 9 7 2 9 7 9,0,30001,-1,-1,23,13.307454551767924
